   ,CUSTOMER_NO,SO_DEBIT1,SO_LAN_GD1,SO_TIEN_DEBIT1,SO_TIEN_CREBIT1,SO_DEBIT2,SO_LAN_GD3,SO_TIEN_DEBIT2,SO_TIEN_CREBIT2,SO_DEBIT3,SO_LAN_GD3,SO_TIEN_DEBIT3,SO_TIEN_CREBIT3,SO_DEBIT4,SO_LAN_GD4,SO_TIEN_DEBIT4,SO_TIEN_CREBIT4,NGAY_MO,NAMSINH,SO_NGAY_FIST,SO_DU_HIEN_TAI,SEX
282,000019104,,,,,,,,,,,,,,,,,7/4/2009,1966,127,317951,M
283,000019197,,,,,,,,,,,,,,,,,10/27/2008,1957,1057,1412,F
284,000019139,,,,,,,,,,,,,,,,,4/14/2009,1982,208,525932,M
285,000018832,,,,,,,,,,,,,,,,,4/14/2009,1969,208,4967,M
286,000021876,,,,,,,,,,,,,,,,,12/2/2008,1981,341,54081,F
287,000019819,,,,,,,,,,,,,,,,,4/16/2009,1980,286,216029,M
288,000017765,4,5,1600287500,1600000000,,,,,,,,,,,,,4/14/2009,1944,1136,65444,F
289,000017766,,,,,,,,,,,,,,,,,9/10/2008,1989,424,5070,M
290,000019953,,,,,,,,,,,,,,,,,11/4/2008,1979,369,2143,F
291,000017830,,,,,,,,,,,,,,,,,9/11/2008,1945,423,120482,F
292,000019439,,,,,,,,,,,,,,,,,12/1/2008,1978,342,748,F
293,000019934,,,,,,,,,,,,,,,,,10/7/2008,1980,401,1828,F
294,000022297,,,,,,,,,,,,,,,,,2/22/2008,1969,625,671,M
295,000019657,,,,,,,,,,,,,,,,,12/1/2008,1960,342,23467,M
296,000019477,,,,,,,,,,,,,,,,,7/4/2009,1976,127,79703,M
