X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,1,8003,8003,8003,8003,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,1,3887,3887,3887,3887,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,56,0,56903,56903,56903,56903,1
9,10,23050000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,55,65,0,59,59,59,59,1
7,10,278708194,269408194,4,4,8359948,0,9,10,109967446,100000000,3,3,5756714,0,39,31,0,7406498,1649784,-8317662,-16677610,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,1,7238,7238,7238,7238,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,60,1,2181,2181,2181,2181,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,1,7598,7598,7598,7598,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,60,1,6538,6538,6538,6538,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,63,1,3583,3583,3583,3583,-1
3,6,927847,1050000,3,6,917762,1050000,3,6,907676,1050000,3,6,953563,1050000,35,0,0,3739605,3836042,3978366,4110604,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,1,1650,1650,1650,1650,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,60,1,4328,4328,4328,4328,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,1,1217,1217,1217,1217,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,0,429790,429790,429790,429790,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,311,0,74539,74539,74539,74539,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,1,6901,6901,6901,6901,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,1,6866,6866,6866,6866,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,27,1,1616,1616,1616,1616,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,1,1499,1499,1499,1499,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,63,1,1444,1444,1444,1444,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,0,53883,53883,53883,53883,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,0,61942,61942,61942,61942,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,1,6130,6130,6130,6130,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,1,7500,7500,7500,7500,-1
2,3,5667083,5667083,2,3,176093315,176200000,0,0,0,0,0,0,0,0,41,0,0,107235,107235,107235,213920,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,59,1,6709,6709,6709,6709,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,1,6043,6043,6043,6043,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,1,3050,3050,3050,3050,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,69,1,4736,4736,4736,4736,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,1,3826,3826,3826,3826,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,1,2,2,2,2,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,1,8531,8531,8531,8531,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,28,1,6960,6960,6960,6960,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,128207,128207,128207,128207,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,1,7238,7238,7238,7238,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,35,1,3,3,3,3,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,1,3864,3864,3864,3864,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,27,1,6613,6613,6613,6613,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,21,1,2591,2591,2591,2591,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,28,1,3076,3076,3076,3076,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,28,1,6977,6977,6977,6977,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26,1,5659,5659,5659,5659,-1
0,1,0,996,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,1004,1004,1004,1004,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,26,1,3701,3701,3701,3701,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,156165,156165,156165,156165,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,1,17431,17431,17431,17431,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,1,6435,6435,6435,6435,-1
4,7,7600000,10206014,2,2,3500000,0,0,0,0,0,0,0,0,0,38,54,0,43295,43295,43295,-3456705,1
41,63,2021848702,2300397025,71,98,1962853872,2516937696,65,103,2979222447,3301887221,35,51,148451833,142884145,35,1,0,412047,-5155641,317509133,871592957,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,1,74,74,74,74,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,1,1664,1664,1664,1664,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,28,1,3612,3612,3612,3612,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,1,7333,7333,7333,7333,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,1,3174,3174,3174,3174,-1
